method,iou_th,AP,AP50,TP,FP,FN,P,R,F1,dataset,conf_th,AP75,APu,APvt,APt,APs,APm,APl,AR500,ARu,ARvt,ARt,ARs,ARm,ARl
OBS,0.6,37.305711057507416,60.112630910533774,32547.0,10526.0,6443.0,75.56241729157477,83.475250064119,79.321984329113,SeaDronesSee,,,,,,,,,,,,,,,
OBS,0.7,37.30282363737349,60.11667886044977,32541.0,11540.0,6449.0,73.82092057802681,83.45986150294948,78.34503015492771,SeaDronesSee,,,,,,,,,,,,,,,
OBS,0.8,37.17429911893381,59.85181594567754,32550.0,12907.0,6440.0,71.60613326880349,83.48294434470377,77.08977228320721,SeaDronesSee,,,,,,,,,,,,,,,
OBS,0.9,36.76713991806573,59.25490991976295,32558.0,15066.0,6432.0,68.36469007223249,83.50346242626314,75.17953217724617,SeaDronesSee,,,,,,,,,,,,,,,
OBS,0.1,37.2586582463876,59.979785538732365,32654.0,8516.0,6336.0,79.31503521982026,83.74967940497562,81.47205588822357,SeaDronesSee,,,,,,,,,,,,,,,
OBS,0.2,37.302121546684205,60.10497844704109,32643.0,8626.0,6347.0,79.09811238459861,83.7214670428315,81.34414831981461,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.1,37.62475963170888,60.054525141769474,33120.0,8798.0,5870.0,79.01140321580228,84.94485765580919,81.87076679685569,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.2,37.66221288272872,60.05808354047235,33115.0,8898.0,5875.0,78.82084116820984,84.93203385483457,81.76240386158538,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.3,37.72239102193375,60.3350369553591,33101.0,9107.0,5889.0,78.42352160727825,84.89612721210567,81.53156481686742,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.4,37.73422656374291,60.32031008702488,33101.0,9429.0,5889.0,77.82976722313661,84.89612721210567,81.20951913640825,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.5,37.748990253514094,60.29634060533281,33103.0,9959.0,5887.0,76.87288096233338,84.90125673249551,80.68785648125579,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.6,37.73294818570794,60.2338732304372,33097.0,10695.0,5893.0,75.57773109243698,84.88586817132598,79.96182745041193,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.7,37.761846777754506,60.253911397588425,33115.0,11787.0,5875.0,73.74949890873458,84.93203385483457,78.94674104801412,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.8,37.70197570440041,60.13202951039454,33124.0,13547.0,5866.0,70.9734096119646,84.95511669658887,77.33741142410197,SeaDronesSee,,,,,,,,,,,,,,,
OBS_no_NMS,0.9,37.06517276153211,58.93958783834704,33145.0,17006.0,5845.0,66.09040697094774,85.00897666068222,74.36533132901808,SeaDronesSee,,,,,,,,,,,,,,,
